id,variant_name,paraphrase_level,question_text,choices,answerKey,nli_entailment,nli_neutral,nli_contradiction,nli_margin,nli_label,semantic_ok
e5593c5c3951ea5c03a7531eaf98da14,original,original,Billy turned off the water by using the diaphragm.  A diaphragm is a type is what?,"{'A': 'drugstore', 'B': 'human', 'C': 'bivalve', 'D': 'valve', 'E': 'gas pump'}",D,1.0,0.0,0.0,1.0,entailment,True
e5593c5c3951ea5c03a7531eaf98da14,light_1,light,Billy turned off the water by using the diaphragm. A diaphragm is a type of what?,"{'A': 'drugstore', 'B': 'human', 'C': 'bivalve', 'D': 'valve', 'E': 'gas pump'}",D,0.9899618625640869,0.008033857680857182,0.002004353329539299,0.9879575092345476,entailment,True
e5593c5c3951ea5c03a7531eaf98da14,light_2,light,"Billy turned off the water by using the diaphragm, a diaphragm is what?","{'A': 'drugstore', 'B': 'human', 'C': 'bivalve', 'D': 'valve', 'E': 'gas pump'}",D,0.9869712591171265,0.008379152044653893,0.004649587441235781,0.9823216716758907,entailment,True
0f5976ba9ec5643e48175ca5bf76a742,original,original,"If someone saved up for a new bass, where would they go to get it?","{'A': 'freshwater lake', 'B': 'seafood restaurant', 'C': 'music store', 'D': 'barbershop quartette', 'E': 'river'}",C,1.0,0.0,0.0,1.0,entailment,True
0f5976ba9ec5643e48175ca5bf76a742,light_1,light,"If someone saved for a new bass, where would they go to get it?","{'A': 'freshwater lake', 'B': 'seafood restaurant', 'C': 'music store', 'D': 'barbershop quartette', 'E': 'river'}",C,0.9848663210868835,0.013158194720745087,0.00197544670663774,0.9828908743802458,entailment,True
0f5976ba9ec5643e48175ca5bf76a742,light_2,light,Where would they go to get a new bass if someone saved up for it?,"{'A': 'freshwater lake', 'B': 'seafood restaurant', 'C': 'music store', 'D': 'barbershop quartette', 'E': 'river'}",C,0.9991415739059448,0.0006547269877046347,0.00020368900732137263,0.9989378848986235,entailment,True
0f5976ba9ec5643e48175ca5bf76a742,light_3,light,Where would they go if someone saved up for a new bass?,"{'A': 'freshwater lake', 'B': 'seafood restaurant', 'C': 'music store', 'D': 'barbershop quartette', 'E': 'river'}",C,0.9983171224594116,0.0010795070556923747,0.0006034377729520202,0.9977136846864596,entailment,True
94af82191eea67142d673b1726e90731,original,original,Where do people go near their own home to sit on the couch?,"{'A': 'apartment', 'B': 'livingroom', 'C': 'bus stop', 'D': 'den', 'E': ""neighbor's house""}",E,1.0,0.0,0.0,1.0,entailment,True
94af82191eea67142d673b1726e90731,light_1,light,Where do people go to sit on the couch near their own home?,"{'A': 'apartment', 'B': 'livingroom', 'C': 'bus stop', 'D': 'den', 'E': ""neighbor's house""}",E,0.9965512752532959,0.0028303430881351233,0.0006184043013490736,0.9959328709519468,entailment,True
998fbb12e51cb4af963c26d14eb5213d,original,original,where is a good place to get fresh wood?,"{'A': 'boat', 'B': 'tree', 'C': 'hardware store', 'D': 'own home', 'E': 'jungle'}",B,1.0,0.0,0.0,1.0,entailment,True
b195c4eb81b16d2c0c781513f149cb54,original,original,After standing in line all day what is likely to happen?,"{'A': 'learn a new way to bake bread', 'B': 'order', 'C': 'tiredness', 'D': 'get tired', 'E': 'fidgeting'}",D,1.0,0.0,0.0,1.0,entailment,True
b195c4eb81b16d2c0c781513f149cb54,light_1,light,What is likely to happen after standing in line all day?,"{'A': 'learn a new way to bake bread', 'B': 'order', 'C': 'tiredness', 'D': 'get tired', 'E': 'fidgeting'}",D,0.9984733462333679,0.001221448415890336,0.00030514609534293413,0.998168200138025,entailment,True
b195c4eb81b16d2c0c781513f149cb54,light_2,light,What is likely to happen after standing all day in line?,"{'A': 'learn a new way to bake bread', 'B': 'order', 'C': 'tiredness', 'D': 'get tired', 'E': 'fidgeting'}",D,0.9987103939056396,0.0010478139156475663,0.00024182058405131102,0.9984685733215883,entailment,True
d9c459563c2892d255abac590ae73789,original,original,"The cubicles felt like their own little rooms, you could hardly even see over the what?","{'A': 'square shape', 'B': 'doors and windows', 'C': 'apartment', 'D': 'border', 'E': 'high walls'}",E,1.0,0.0,0.0,1.0,entailment,True
d9c459563c2892d255abac590ae73789,light_1,light,The cubicles felt like their own little rooms - you could barely see what?,"{'A': 'square shape', 'B': 'doors and windows', 'C': 'apartment', 'D': 'border', 'E': 'high walls'}",E,0.9953562617301941,0.0037009241059422493,0.0009427370969206095,0.9944135246332735,entailment,True
d9c459563c2892d255abac590ae73789,light_2,light,"The cubicles felt like their own little rooms, you could barely see over the what?","{'A': 'square shape', 'B': 'doors and windows', 'C': 'apartment', 'D': 'border', 'E': 'high walls'}",E,0.9830281734466553,0.011968318372964859,0.005003493744879961,0.9780246797017753,entailment,True
d9c459563c2892d255abac590ae73789,light_3,light,"The cubicles felt like their own little rooms, you could barely see the what?","{'A': 'square shape', 'B': 'doors and windows', 'C': 'apartment', 'D': 'border', 'E': 'high walls'}",E,0.9875820875167847,0.009163400158286095,0.0032545404974371195,0.9843275470193475,entailment,True
6e0ae8e718a477a7ec334400f66c0fc7,original,original,Where is a mouse likely to enter a house?,"{'A': 'garage', 'B': 'cupboard', 'C': 'kitchen', 'D': 'sewer', 'E': 'attic'}",A,1.0,0.0,0.0,1.0,entailment,True
1c3cd8e27a5b9dfcc29a4837c833fa3a,original,original,"Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what?","{'A': 'grief', 'B': 'confusion', 'C': 'relief', 'D': 'depression', 'E': 'happiness'}",E,1.0,0.0,0.0,1.0,entailment,True
1c3cd8e27a5b9dfcc29a4837c833fa3a,light_1,light,"Stopping being married to one another might seem like a negative thing as it is an end, but it can also be a beginning that brings what?","{'A': 'grief', 'B': 'confusion', 'C': 'relief', 'D': 'depression', 'E': 'happiness'}",E,0.8935759663581848,0.10253133624792099,0.0038926396518945694,0.8896833267062902,entailment,True
1c3cd8e27a5b9dfcc29a4837c833fa3a,light_2,light,"Stopping being married to each other may seem like a negative thing as it is an end, but it can also be a beginning that brings what?","{'A': 'grief', 'B': 'confusion', 'C': 'relief', 'D': 'depression', 'E': 'happiness'}",E,0.8889963626861572,0.10728805512189865,0.003715591272339225,0.885280771413818,entailment,True
1c3cd8e27a5b9dfcc29a4837c833fa3a,light_3,light,"Stopping being married to one another may seem like a negative thing as it is an end, but it can also be a beginning that brings what?","{'A': 'grief', 'B': 'confusion', 'C': 'relief', 'D': 'depression', 'E': 'happiness'}",E,0.8966985940933228,0.09943767637014389,0.003863760968670249,0.8928348331246525,entailment,True
d6f0cbc4627aa5f4e64902dea2d4c6d1,original,original,Dan said that getting in line was the best choice because it would lead to what?,"{'A': 'being ordered', 'B': 'less confusion', 'C': 'boredom', 'D': 'standing in line', 'E': 'have to wait for'}",B,1.0,0.0,0.0,1.0,entailment,True
8cd9f784277466e40b72750727ab2f83,original,original,Name a sort of place where live crabs are not allowed.,"{'A': 'most offices', 'B': 'fish department', 'C': 'basin', 'D': 'fancy restaurant', 'E': 'fish market'}",A,1.0,0.0,0.0,1.0,entailment,True
